"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf.";
1;"C4";"C_0805";1;"1uF";;;
2;"U2";"SOT-23-5";1;"LD39015M18R";;;
3;"U1";"QFN-24-1EP_4x4mm_Pitch0.5mm";1;"TLV320DAC3203";;;
4;"SW2";"SW_PUSH_SMALL";1;"SW_PUSH";;;
5;"P1,P2";"Pin_Header_Straight_1x12";2;"CONN_12";;;
6;"C1,C12,C10";"C_0805";3;"0.1u";;;
7;"C3";"C_0805";1;"0.1uF";;;
8;"C5,C6,C7,C8,C18";"C_0805";5;"1u";;;
9;"C9,C2";"C_0805";2;"10u";;;
10;"C16,C17";"C_0805";2;"47u";;;
11;"R2";"R_0603";1;"10k";;;
12;"R1,R3";"R_0603";2;"110k";;;
13;"P3";"Pin_Header_Straight_1x02";1;"CONN_01X02";;;
14;"U3";"MSOP-8-1EP_3x3mm_Pitch0.65mm";1;"TPA2005D1";;;
15;"C11,C13";"C_0805";2;"47n";;;
16;"J1";"Jack Cliff  FC68131";1;"JACK_TRS_6PINS";;;
17;"SP1";"LOUDSPEAKER-ABS-216-RC";1;"SPEAKER";;;
18;"R4,R5";"R_0603";2;"4.7k";;;
